year,pfd,pfd_notes
1982,1000,
1983,386.15,
1984,331.29,
1985,404,
1986,556.26,
1987,708.19,
1988,826.93,
1989,873.16,
1990,952.63,
1991,931.34,
1992,915.84,
1993,949.46,
1994,983.9,
1995,990.3,
1996,1130.68,
1997,1296.54,
1998,1540.88,
1999,1769.84,
2000,1963.86,
2001,1850.28,
2002,1540.76,
2003,1107.56,
2004,919.84,
2005,845.76,
2006,1106.96,
2007,1654,
2008,3269,"$2,069.00 + $1,200 Alaska Resource Rebate"
2009,1305,
2010,1281,
2011,1174,
2012,878,
2013,900,
2014,1884,
2015,2072,
2016,1022,"Dividend was estimated to be $2,052 however Governor Walker's veto reduced it"
2017,1100,"Dividend was estimated to be over $2,300 however it was reduced by legislative action"
2018,1600,"Dividend was estimated to be $2,700 however it was reduced by legislative action"
2019,1606,
